,signature,gene
0,Activin_A,Inhba
1,BDNF,Bdnf
2,BMP2,Bmp2
3,BMP4,Bmp4
4,BMP6,Bmp6
5,CD40L,Cd40lg
6,CXCL12,Cxcl12
7,EGF,Egf
8,FGF2,Fgf2
9,GCSF,Csf3
10,GDF11,Gdf11
11,GMCSF,Csf2
12,HGF,Hgf
13,IFN1,Ifna14
14,IFN1,Ifna13
15,IFN1,Ifna16
16,IFN1,Ifnab
17,IFN1,Ifna15
18,IFN1,Ifna11
19,IFN1,Ifna7
20,IFN1,Ifna2
21,IFN1,Ifna12
22,IFN1,Ifna6
23,IFN1,Ifna5
24,IFN1,Ifna1
25,IFN1,Ifna4
26,IFN1,Ifna9
27,IFN1,Ifna14
28,IFN1,Ifna13
29,IFN1,Ifna16
30,IFN1,Ifnab
31,IFN1,Ifna15
32,IFN1,Ifna11
33,IFN1,Ifna7
34,IFN1,Ifna2
35,IFN1,Ifna12
36,IFN1,Ifna6
37,IFN1,Ifna5
38,IFN1,Ifna1
39,IFN1,Ifna4
40,IFN1,Ifna9
41,IFN1,Ifna14
42,IFN1,Ifna13
43,IFN1,Ifna16
44,IFN1,Ifnab
45,IFN1,Ifna15
46,IFN1,Ifna11
47,IFN1,Ifna7
48,IFN1,Ifna2
49,IFN1,Ifna12
50,IFN1,Ifna6
51,IFN1,Ifna5
52,IFN1,Ifna1
53,IFN1,Ifna4
54,IFN1,Ifna9
55,IFN1,Ifna14
56,IFN1,Ifna13
57,IFN1,Ifna16
58,IFN1,Ifnab
59,IFN1,Ifna15
60,IFN1,Ifna11
61,IFN1,Ifna7
62,IFN1,Ifna2
63,IFN1,Ifna12
64,IFN1,Ifna6
65,IFN1,Ifna5
66,IFN1,Ifna1
67,IFN1,Ifna4
68,IFN1,Ifna9
69,IFN1,Ifna14
70,IFN1,Ifna13
71,IFN1,Ifna16
72,IFN1,Ifnab
73,IFN1,Ifna15
74,IFN1,Ifna11
75,IFN1,Ifna7
76,IFN1,Ifna2
77,IFN1,Ifna12
78,IFN1,Ifna6
79,IFN1,Ifna5
80,IFN1,Ifna1
81,IFN1,Ifna4
82,IFN1,Ifna9
83,IFN1,Ifna14
84,IFN1,Ifna13
85,IFN1,Ifna16
86,IFN1,Ifnab
87,IFN1,Ifna15
88,IFN1,Ifna11
89,IFN1,Ifna7
90,IFN1,Ifna2
91,IFN1,Ifna12
92,IFN1,Ifna6
93,IFN1,Ifna5
94,IFN1,Ifna1
95,IFN1,Ifna4
96,IFN1,Ifna9
97,IFN1,Ifna14
98,IFN1,Ifna13
99,IFN1,Ifna16
100,IFN1,Ifnab
101,IFN1,Ifna15
102,IFN1,Ifna11
103,IFN1,Ifna7
104,IFN1,Ifna2
105,IFN1,Ifna12
106,IFN1,Ifna6
107,IFN1,Ifna5
108,IFN1,Ifna1
109,IFN1,Ifna4
110,IFN1,Ifna9
111,IFN1,Ifna14
112,IFN1,Ifna13
113,IFN1,Ifna16
114,IFN1,Ifnab
115,IFN1,Ifna15
116,IFN1,Ifna11
117,IFN1,Ifna7
118,IFN1,Ifna2
119,IFN1,Ifna12
120,IFN1,Ifna6
121,IFN1,Ifna5
122,IFN1,Ifna1
123,IFN1,Ifna4
124,IFN1,Ifna9
125,IFN1,Ifna14
126,IFN1,Ifna13
127,IFN1,Ifna16
128,IFN1,Ifnab
129,IFN1,Ifna15
130,IFN1,Ifna11
131,IFN1,Ifna7
132,IFN1,Ifna2
133,IFN1,Ifna12
134,IFN1,Ifna6
135,IFN1,Ifna5
136,IFN1,Ifna1
137,IFN1,Ifna4
138,IFN1,Ifna9
139,IFN1,Ifna14
140,IFN1,Ifna13
141,IFN1,Ifna16
142,IFN1,Ifnab
143,IFN1,Ifna15
144,IFN1,Ifna11
145,IFN1,Ifna7
146,IFN1,Ifna2
147,IFN1,Ifna12
148,IFN1,Ifna6
149,IFN1,Ifna5
150,IFN1,Ifna1
